GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,org.honton.chas.datadog.apm.api,Trace,0,14,0,0,0,6,0,3,0,3
client,org.honton.chas.datadog.apm.api,ServiceData,0,115,1,19,0,3,1,15,0,6
client,org.honton.chas.datadog.apm.api,Span,0,482,6,64,0,13,6,45,0,16
client,org.honton.chas.datadog.apm.servlet,TraceServletFilter,22,78,5,3,2,16,5,4,2,3
client,org.honton.chas.datadog.apm.servlet,TraceServletFilter.new Tracer.HeaderAccessor() {...},0,14,0,0,0,2,0,2,0,2
client,org.honton.chas.datadog.apm.sender,Writer.new Thread() {...},0,26,0,2,0,10,0,3,0,2
client,org.honton.chas.datadog.apm.sender,TraceQueue,5,52,0,4,0,15,0,5,0,3
client,org.honton.chas.datadog.apm.sender,Writer,0,176,2,8,0,48,2,17,0,14
client,org.honton.chas.datadog.apm.cdi,TraceInterceptor,0,54,0,0,0,10,0,2,0,2
client,org.honton.chas.datadog.apm.cdi,TracerImpl,5,181,0,4,2,48,1,14,1,12
client,org.honton.chas.datadog.apm.jackson,MsgPackProvider,1,22,2,2,0,3,2,2,0,2
client,org.honton.chas.datadog.apm,SpanBuilder,3,260,0,8,0,44,1,32,1,28
client,org.honton.chas.datadog.apm,TraceConfiguration,0,148,1,21,0,4,1,17,0,7
client,org.honton.chas.datadog.apm.jaxrs,TraceClientFilter.new Tracer.HeaderMutator() {...},0,16,0,0,0,3,0,2,0,2
client,org.honton.chas.datadog.apm.jaxrs,TraceClientFilter,0,48,0,0,0,9,0,4,0,4
